|Sütunlar||
Satırlar|İbbs-Düzey1, İbbs-Düzey2,  İl Ve İlçe Nüfusları||
|2017|2022|
|Ölçüm bazında|Ölçüm bazında|
|||
|||
Adana(Aladağ)-1757|15896.0|15897.0|
Adana(Ceyhan)-1219|160616.0|158922.0|
Adana(Çukurova)-2033|364118.0|389175.0|
Adana(Feke)-1329|16572.0|15833.0|
Adana(İmamoğlu)-1806|28405.0|27037.0|
Adana(Karaisalı)-1437|21189.0|22042.0|
Adana(Karataş)-1443|22098.0|23499.0|
Adana(Kozan)-1486|130456.0|132703.0|
Adana(Pozantı)-1580|19215.0|19852.0|
Adana(Saimbeyli)-1588|14840.0|13621.0|
Adana(Sarıçam)-2032|163833.0|221733.0|
Adana(Seyhan)-1104|800387.0|795012.0|
Adana(Tufanbeyli)-1687|16640.0|16400.0|
Adana(Yumurtalık)-1734|17211.0|17654.0|
Adana(Yüreğir)-1748|424999.0|404726.0|
Adıyaman(Besni)-1182|75499.0|77180.0|
Adıyaman(Çelikhan)-1246|15326.0|14858.0|
Adıyaman(Gerger)-1347|18244.0|15711.0|
Adıyaman(Gölbaşı)-1354|49059.0|50324.0|
Adıyaman(Kahta)-1425|120859.0|128961.0|
Adıyaman(Merkez)-1105|301589.0|316140.0|
Adıyaman(Samsat)-1592|7530.0|6673.0|
Adıyaman(Sincik)-1985|17034.0|15947.0|
Adıyaman(Tut)-1989|9936.0|9375.0|
Afyonkarahisar(Başmakçı)-1771|10013.0|9353.0|
Afyonkarahisar(Bayat)-1773|7741.0|7679.0|
Afyonkarahisar(Bolvadin)-1200|43842.0|45960.0|
Afyonkarahisar(Çay)-1239|31364.0|30351.0|
Afyonkarahisar(Çobanlar)-1906|14269.0|14034.0|
Afyonkarahisar(Dazkırı)-1267|10966.0|11432.0|
Afyonkarahisar(Dinar)-1281|47062.0|47385.0|
Afyonkarahisar(Emirdağ)-1306|36447.0|43305.0|
Afyonkarahisar(Evciler)-1923|7346.0|7095.0|
Afyonkarahisar(Hocalar)-1944|9785.0|8743.0|
Afyonkarahisar(İhsaniye)-1404|27626.0|27038.0|
Afyonkarahisar(İscehisar)-1809|24442.0|24889.0|
Afyonkarahisar(Kızılören)-1961|2363.0|2096.0|
Afyonkarahisar(Merkez)-1108|295683.0|324996.0|
Afyonkarahisar(Sandıklı)-1594|55458.0|55198.0|
Afyonkarahisar(Sinanpaşa)-1626|39686.0|37991.0|
Afyonkarahisar(Şuhut)-1664|36693.0|35973.0|
Afyonkarahisar(Sultandağı)-1639|14907.0|14037.0|
Ağrı(Diyadin)-1283|42340.0|38369.0|
Ağrı(Doğubayazıt)-1287|120320.0|116493.0|
Ağrı(Eleşkirt)-1301|33940.0|30288.0|
Ağrı(Hamur)-1379|18261.0|16152.0|
Ağrı(Merkez)-1111|149581.0|148765.0|
Ağrı(Patnos)-1568|120654.0|114081.0|
Ağrı(Taşlıçay)-1667|20490.0|18614.0|
Ağrı(Tutak)-1691|30699.0|27864.0|
Aksaray(Ağaçören)-1860|8175.0|7577.0|
Aksaray(Eskil)-1921|26333.0|27188.0|
Aksaray(Gülağaç)-1932|19244.0|19158.0|
Aksaray(Güzelyurt)-1861|11275.0|10467.0|
Aksaray(Merkez)-1120|289778.0|319865.0|
Aksaray(Ortaköy)-1557|32209.0|31818.0|
Aksaray(Sarıyahşi)-1866|4833.0|5097.0|
Aksaray(Sultanhanı)-2106|10557.0|11885.0|
Amasya(Göynücek)-1363|10718.0|9906.0|
Amasya(Gümüşhacıköy)-1368|22812.0|22746.0|
Amasya(Hamamözü)-1938|3757.0|3495.0|
Amasya(Merkez)-1134|143781.0|149592.0|
Amasya(Merzifon)-1524|71853.0|75346.0|
Amasya(Suluova)-1641|46598.0|47038.0|
Amasya(Taşova)-1668|30369.0|30144.0|
Ankara(Akyurt)-1872|32863.0|40625.0|
Ankara(Altındağ)-1130|371366.0|413994.0|
Ankara(Ayaş)-1157|12289.0|12998.0|
Ankara(Bala)-1167|21682.0|20521.0|
Ankara(Beypazarı)-1187|48476.0|48357.0|
Ankara(Çamlıdere)-1227|7389.0|8100.0|
Ankara(Çankaya)-1231|921999.0|942553.0|
Ankara(Çubuk)-1260|90063.0|95449.0|
Ankara(Elmadağ)-1302|45513.0|44379.0|
Ankara(Etimesgut)-1922|566500.0|614891.0|
Ankara(Evren)-1924|2753.0|2952.0|
Ankara(Gölbaşı)-1744|130363.0|150047.0|
Ankara(Güdül)-1365|8050.0|8079.0|
Ankara(Haymana)-1387|27277.0|26016.0|
Ankara(Kahramankazan)-1815|52079.0|59123.0|
Ankara(Kalecik)-1427|12897.0|12794.0|
Ankara(Keçiören)-1745|917759.0|939279.0|
Ankara(Kızılcahamam)-1473|24947.0|26872.0|
Ankara(Mamak)-1746|637935.0|687535.0|
Ankara(Nallıhan)-1539|28621.0|26553.0|
Ankara(Polatlı)-1578|124464.0|128378.0|
Ankara(Pursaklar)-2034|142317.0|162389.0|
Ankara(Şereflikoçhisar)-1658|33599.0|33140.0|
Ankara(Sincan)-1747|524222.0|572609.0|
Ankara(Yenimahalle)-1723|659603.0|704652.0|
Antalya(Akseki)-1121|10471.0|10477.0|
Antalya(Aksu)-2035|69967.0|77623.0|
Antalya(Alanya)-1126|299464.0|364180.0|
Antalya(Demre)-1811|25928.0|27691.0|
Antalya(Döşemealtı)-2036|59948.0|79495.0|
Antalya(Elmalı)-1303|38651.0|40774.0|
Antalya(Finike)-1333|48948.0|49720.0|
Antalya(Gazipaşa)-1337|49555.0|53702.0|
Antalya(Gündoğmuş)-1370|7593.0|7188.0|
Antalya(İbradı)-1946|2646.0|2875.0|
Antalya(Kaş)-1451|57123.0|62866.0|
Antalya(Kemer)-1959|42568.0|49383.0|
Antalya(Kepez)-2037|519966.0|608675.0|
Antalya(Konyaaltı)-2038|172920.0|204795.0|
Antalya(Korkuteli)-1483|53610.0|56285.0|
Antalya(Kumluca)-1492|67942.0|73496.0|
Antalya(Manavgat)-1512|226394.0|252941.0|
Antalya(Muratpaşa)-2039|488670.0|526293.0|
Antalya(Serik)-1616|122032.0|139545.0|
Ardahan(Çıldır)-1252|9361.0|8693.0|
Ardahan(Damal)-2008|5345.0|4866.0|
Ardahan(Göle)-1356|25178.0|22900.0|
Ardahan(Hanak)-1380|8887.0|8054.0|
Ardahan(Merkez)-1144|41758.0|41672.0|
Ardahan(Posof)-1579|6567.0|6296.0|
Artvin(Ardanuç)-1145|10599.0|11074.0|
Artvin(Arhavi)-1147|20452.0|21520.0|
Artvin(Borçka)-1202|21697.0|21748.0|
